name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,locality_verbose,city,zipcode,country_id,latitude,longitude,has_online_delivery,has_table_booking
The Devil's Cut,"North Indian, Chinese, Continental",4.7,Excellent,399,Rs.,1550,3,Jubilee Hills,"Jubilee Hills, Hyderabad",Hyderabad,500033,1,17.4256415000,78.4143120000,0,1
Ohri's Jiva Imperia,"North Indian, Chinese, South Indian, Bakery",4.7,Excellent,1950,Rs.,1100,3,Begumpet,"Begumpet, Hyderabad",Hyderabad,0,1,17.4357033561,78.4576398879,1,0
Nimrah Cafe And Bakery,Bakery,4.7,Excellent,1226,Rs.,250,1,Charminar,"Charminar, Hyderabad",Hyderabad,0,1,17.3610995399,78.4744134173,0,0
Stikstof Ice-Cream Cafe,"Ice Cream, Beverages",4.7,Excellent,1375,Rs.,500,2,Madhapur,"Madhapur, Hyderabad",Hyderabad,500081,1,17.4437585013,78.3873851225,1,0
Dhaba Estd 1986 Delhi,North Indian,4.7,Excellent,3525,Rs.,1800,3,Kondapur,"Kondapur, Hyderabad",Hyderabad,500084,1,17.4581371207,78.3731771261,1,1
Ohri's De Thali,"North Indian, Rajasthani, Gujarati",4.7,Excellent,1505,Rs.,900,2,Begumpet,"Begumpet, Hyderabad",Hyderabad,0,1,17.4357139119,78.4577203542,1,1
Zero40 Brewing,"American, Pizza, North Indian",4.7,Excellent,4905,Rs.,2400,4,Jubilee Hills,"Jubilee Hills, Hyderabad",Hyderabad,500033,1,17.4355898017,78.4117989242,0,1
Feu Dessert Bar,"Cafe, Desserts, Coffee, Sandwich, Salad",4.7,Excellent,356,Rs.,1100,3,Jubilee Hills,"Jubilee Hills, Hyderabad",Hyderabad,,1,17.4239550000,78.4128820000,0,0
Feranoz Pâtisserie & Cafè,"Cafe, Bakery",4.7,Excellent,347,Rs.,600,2,Banjara Hills,"Banjara Hills, Hyderabad",Hyderabad,500034,1,17.4193757465,78.4421625361,0,0
Trio-La Patisserie,"Bakery, Desserts",4.7,Excellent,222,Rs.,500,2,Bowenpally,"Bowenpally, Secunderabad",Secunderabad,500009,1,17.4639662874,78.4897274897,1,0
Paradise Biryani,"Biryani, North Indian, Mughlai",4.6,Excellent,8317,Rs.,800,2,Gachibowli,"Gachibowli, Hyderabad",Hyderabad,,1,17.4423559215,78.3565075323,1,0
Cafe Bahar,"Mughlai, North Indian, Chinese",4.6,Excellent,11208,Rs.,600,2,Basheer Bagh,"Basheer Bagh, Hyderabad",Hyderabad,500029,1,17.3995811768,78.4785772115,1,0
Van Lavino,"Cafe, Desserts",4.6,Excellent,1326,Rs.,1200,3,Jubilee Hills,"Jubilee Hills, Hyderabad",Hyderabad,500033,1,17.4295358102,78.4101436660,1,0
Natural Ice Cream,"Ice Cream, Desserts",4.6,Excellent,1510,Rs.,200,1,Srinagar Colony,"Srinagar Colony, Hyderabad",Hyderabad,0,1,17.4285918352,78.4396097437,1,0
China Bistro,"Chinese, Thai, Asian, Momos",4.6,Excellent,1618,Rs.,1700,3,Jubilee Hills,"Jubilee Hills, Hyderabad",Hyderabad,500033,1,17.4225110603,78.4109925851,1,0
