name,cuisines,aggregate_rating,rating_text,votes,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,has_table_booking,American,Andhra,Arabian,Asian,Awadhi,BBQ,Bakery,Beverages,Biryani,Burger,Burmese,Cafe,Chinese,Coffee,Continental,Desserts,European,Fast Food,Gujarati,Healthy Food,Hyderabadi,Ice Cream,Italian,Japanese,Juices,Lebanese,Mediterranean,Mexican,Modern Indian,Momos,Mughlai,North Indian,Parsi,Pizza,Rajasthani,Rolls,Salad,Sandwich,Seafood,South Indian,Street Food,Sushi,Tex-Mex,Thai,Tibetan,Vietnamese,places,cuisine_count,place_type
B-Dubs,American,4.7,Excellent,1408,1600,3,Gachibowli,Hyderabad,17.4347985,78.3687073,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Natural Ice Cream,"Ice Cream, Desserts",4.7,Excellent,1174,200,1,S P Road,Secunderabad,17.4431590876,78.4805405885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
The Devil's Cut,"North Indian, Chinese, Continental",4.7,Excellent,399,1550,3,Jubilee Hills,Hyderabad,17.4256415,78.414312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Stikstof Ice-Cream Cafe,"Ice Cream, Beverages",4.7,Excellent,1375,500,2,Madhapur,Hyderabad,17.4437585013,78.3873851225,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Dhaba Estd 1986 Delhi,North Indian,4.7,Excellent,3525,1800,3,Kondapur,Hyderabad,17.4581371207,78.3731771261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Ohri's De Thali,"North Indian, Rajasthani, Gujarati",4.7,Excellent,1505,900,2,Begumpet,Hyderabad,17.4357139119,78.4577203542,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Nimrah Cafe And Bakery,Bakery,4.7,Excellent,1226,250,1,Charminar,Hyderabad,17.3610995399,78.4744134173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Haiku,"Asian, Sushi",4.6,Skvělé,939,1500,3,Banjara Hills,Hyderabad,17.4121800923,78.4304141253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,None,2,None
Carpe Diem,"Continental, Asian, Mexican",4.6,Excelente,526,2000,4,Jubilee Hills,Hyderabad,17.4377550001,78.3982239291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
10 Asia Kitchen,"Asian, Chinese, Thai, Seafood, Desserts",4.6,Excellent,79,1200,3,Jubilee Hills,Hyderabad,17.4297356,78.4126338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,None,5,None
Coconut Juice Bar,"Beverages, Juices",4.6,Excellent,366,200,1,Gachibowli,Hyderabad,17.4471409612,78.3532815054,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Kaffe Gardenia,"North Indian, South Indian, Chinese",4.6,Excellent,166,800,2,Banjara Hills,Hyderabad,17.4238482147,78.4247560054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,None,3,None
Stikstof Ice-Cream Cafe,Ice Cream,4.6,Excellent,256,500,2,Gachibowli,Hyderabad,17.4200261,78.3528936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Euphoria,"Fast Food, Bakery",4.6,Excellent,185,500,2,Kondapur,Hyderabad,17.4558327158,78.3742141351,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,None
Kaffe Gardenia,"North Indian, South Indian, Chinese",4.6,Excelente,166,800,2,Banjara Hills,Hyderabad,17.4238482147,78.4247560054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,None,3,None
